fc,em,similarity score
1048215779,Cha-F-000009,0.3880910868238198
Cha-F-000009,1078693835,0.4036365916610372
1078693835,Cha-F-000009,0.3775408764353726
Cha-F-400112,1224258912,-0.8720169658737666
1224258912,Cha-F-400112,-0.8591951181196711
Cha-F-400112,5813022925,-0.7954689223750928
5813022925,Cha-F-400112,-0.7784663338822558
Cha-F-400201,1639886198,-0.7884883700625114
1639886198,Cha-F-400201,-0.7782268206479132
Cha-F-400201,1640555311,-0.7847299198120299
1640555311,Cha-F-400201,-0.756772316391538
Cha-F-800086,579916831,0.0894923768845003
579916831,Cha-F-800086,0.05320551824165
Cha-F-800086,5812981543,0.191739656979401
5812981543,Cha-F-800086,0.3514346126662575
E0585-F-200015,457175171,0.2916229053366149
457175171,E0585-F-200015,0.3860963933030584
E0585-F-200015,518899665,0.1872816121019583
518899665,E0585-F-200015,0.1822424603431278
E0585-F-300042,457175171,0.2950593449733475
457175171,E0585-F-300042,0.4314687569212673
E0585-F-300042,642664141,0.2920033866666541
642664141,E0585-F-300042,0.4022704331238794
fru-F-200052,1228683492,-0.8155479550286222
1228683492,fru-F-200052,-0.6993293043297465
fru-F-200052,456156825,-0.2333689061807562
456156825,fru-F-200052,-0.2256048863465666
fru-F-400010,862705904,0.2987656760855208
862705904,fru-F-400010,0.3202189242307946
fru-F-400010,1173745330,0.3239585137695164
1173745330,fru-F-400010,0.3235267525595789
fru-F-400071,1205090786,0.3696560956729278
1205090786,fru-F-400071,0.3167272552171428
fru-F-400071,1173745330,0.2384559029408368
1173745330,fru-F-400071,0.2533056297495127
fru-F-400141,862705904,0.3334948297483112
862705904,fru-F-400141,0.267042625043319
fru-F-400141,1142356576,0.3394463811052221
1142356576,fru-F-400141,0.3577986789773751
fru-F-400196,1100792636,-0.7836760872974519
1100792636,fru-F-400196,-0.7211235303833764
fru-F-400196,1141324564,0.2747525968141984
1141324564,fru-F-400196,0.3824647160169397
fru-F-400214,983759126,0.3130888551403078
983759126,fru-F-400214,0.3633068564857686
fru-F-400214,1173045815,0.3162505622289523
